Station,Year,Month,monthly_rainfall
Faridpur,1950,6,708.0
Faridpur,1950,7,419.0
Faridpur,1950,8,441.0
Faridpur,1950,9,161.0
Faridpur,1950,10,166.0
Faridpur,1950,11,165.0
Faridpur,1950,12,0.0
Jessore,1950,1,0.0
Jessore,1950,2,13.0
Jessore,1950,3,17.0
Jessore,1950,4,42.0
Jessore,1950,5,77.0
Jessore,1950,6,557.0
Jessore,1950,7,281.0
Jessore,1950,8,327.0
Jessore,1950,9,126.0
Jessore,1950,10,55.0
Jessore,1950,11,124.0
Jessore,1950,12,0.0
Khulna,1950,1,0.0
Khulna,1950,2,4.0
Khulna,1950,3,19.0
Khulna,1950,4,13.0
Khulna,1950,5,75.0
Khulna,1950,6,361.0
Khulna,1950,7,303.0
Khulna,1950,8,243.0
Khulna,1950,9,178.0
Khulna,1950,10,114.0
Khulna,1950,11,177.0
Khulna,1950,12,0.0
Mymensingh,1950,1,0.0
Mymensingh,1950,2,30.0
Mymensingh,1950,3,64.0
Mymensingh,1950,4,25.0
Mymensingh,1950,5,130.0
Mymensingh,1950,6,502.0
Mymensingh,1950,7,79.0
Mymensingh,1950,8,498.0
Mymensingh,1950,9,73.0
Mymensingh,1950,10,31.0
Mymensingh,1950,11,41.0
Mymensingh,1950,12,0.0
Satkhira,1950,1,0.0
Satkhira,1950,2,10.0
Satkhira,1950,3,35.0
Satkhira,1950,4,4.0
Satkhira,1950,5,88.0
Satkhira,1950,6,599.0
Satkhira,1950,7,180.0
Satkhira,1950,8,311.0
Satkhira,1950,9,296.0
Satkhira,1950,10,126.0
Satkhira,1950,11,183.0
Satkhira,1950,12,0.0
Srimangal,1950,1,0.0
Srimangal,1950,2,62.0
Srimangal,1950,3,16.0
Srimangal,1950,4,214.0
Srimangal,1950,5,172.0
Srimangal,1950,6,386.0
Srimangal,1950,7,230.0
Srimangal,1950,8,367.0
Srimangal,1950,9,144.0
Srimangal,1950,10,226.0
Srimangal,1950,11,103.0
Srimangal,1950,12,0.0
Barisal,1951,1,0.0
Barisal,1951,2,0.0
Barisal,1951,3,67.0
Barisal,1951,4,137.0
Barisal,1951,5,114.0
Barisal,1951,6,394.0
Barisal,1951,7,375.0
Barisal,1951,8,194.0
Barisal,1951,9,286.0
Barisal,1951,10,301.0
Barisal,1951,11,31.0
Barisal,1951,12,0.0
Bogra,1951,1,5.0
Bogra,1951,2,0.0
Bogra,1951,3,13.0
Bogra,1951,4,0.0
Bogra,1951,5,90.0
Bogra,1951,6,351.0
Bogra,1951,7,390.0
Bogra,1951,8,226.0
Bogra,1951,9,86.0
Bogra,1951,10,169.0
Bogra,1951,11,21.0
Bogra,1951,12,0.0
Chittagong,1951,1,0.0
Chittagong,1951,2,0.0
Chittagong,1951,3,70.0
Chittagong,1951,4,181.0
Chittagong,1951,5,139.0
Chittagong,1951,6,458.0
Chittagong,1951,7,670.0
Chittagong,1951,8,747.0
Chittagong,1951,9,295.0
Chittagong,1951,10,488.0
Chittagong,1951,11,0.0
Chittagong,1951,12,7.0
Comilla,1951,1,0.0
Comilla,1951,2,0.0
Comilla,1951,3,23.0
Comilla,1951,4,212.0
Comilla,1951,5,200.0
Comilla,1951,6,539.0
Comilla,1951,7,857.0
Comilla,1951,8,596.0
Comilla,1951,9,401.0
Comilla,1951,10,427.0
Comilla,1951,11,55.0
Comilla,1951,12,0.0
Cox's Bazar,1951,1,0.0
Cox's Bazar,1951,2,0.0
Cox's Bazar,1951,3,46.0
Cox's Bazar,1951,4,165.0
Cox's Bazar,1951,5,72.0
Cox's Bazar,1951,6,691.0
Cox's Bazar,1951,7,661.0
Cox's Bazar,1951,8,765.0
Cox's Bazar,1951,9,385.0
Cox's Bazar,1951,10,606.0
Cox's Bazar,1951,11,7.0
Cox's Bazar,1951,12,24.0
Dinajpur,1951,1,0.0
Dinajpur,1951,2,0.0
Dinajpur,1951,3,0.0
Dinajpur,1951,4,0.0
Dinajpur,1951,5,0.0
Dinajpur,1951,6,384.0
Dinajpur,1951,7,373.0
Dinajpur,1951,8,480.0
Dinajpur,1951,9,150.0
Dinajpur,1951,10,85.0
Dinajpur,1951,11,7.0
Dinajpur,1951,12,0.0
Faridpur,1951,1,0.0
Faridpur,1951,2,0.0
Faridpur,1951,3,45.0
Faridpur,1951,4,43.0
Faridpur,1951,5,100.0
Faridpur,1951,6,291.0
Faridpur,1951,7,389.0
Faridpur,1951,8,240.0
Faridpur,1951,9,201.0
Faridpur,1951,10,180.0
Faridpur,1951,11,38.0
Faridpur,1951,12,0.0
Jessore,1951,1,0.0
Jessore,1951,2,0.0
Jessore,1951,3,34.0
Jessore,1951,4,19.0
Jessore,1951,5,170.0
Jessore,1951,6,113.0
Jessore,1951,7,279.0
Jessore,1951,8,244.0
Jessore,1951,9,147.0
Jessore,1951,10,224.0
Jessore,1951,11,0.0
Jessore,1951,12,0.0
Khulna,1951,1,0.0
Khulna,1951,2,0.0
Khulna,1951,3,35.0
Khulna,1951,4,62.0
Khulna,1951,5,110.0
